ID,Policy_Start_Date,Policy_End_Date,Gender,Age,First_Transaction_Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_8LR0YKQ,12,0,2,50.0,12,1,8,0,67,158,73,5,0
ID_YPR71VM,12,0,2,20.0,12,3,8,0,67,157,73,8,1
ID_R7NEBUD,12,0,1,41.15399093164514,12,4,8,0,67,247,73,8,1
ID_GI1Y1XH,12,0,1,70.0,12,1,8,4,42,237,73,1,0
ID_VUT1OT3,12,0,1,41.15399093164514,12,4,8,0,0,247,73,8,0
ID_8CMPRYW,12,0,1,51.0,12,3,2,4,67,247,73,6,0
ID_SILXIAO,12,0,2,20.0,12,4,8,0,3,253,23,0,0
ID_RQ6JNUG,12,0,1,41.15399093164514,12,4,8,0,3,247,73,8,0
ID_20GFWO2,12,0,2,44.0,12,1,8,0,26,115,73,1,0
ID_HER91KK,12,0,0,47.0,12,1,2,4,49,84,39,2,0
ID_GX4BFSG,12,0,2,20.0,12,3,2,4,49,157,73,8,1
ID_P5YXXFT,12,0,1,41.15399093164514,12,4,8,0,50,247,73,8,1
ID_1GKM6N8,12,0,1,41.15399093164514,12,4,2,4,42,247,73,8,0
ID_W8RO33C,12,0,2,20.0,12,3,2,0,42,157,73,8,1
ID_8ODNWAO,12,0,2,20.0,12,3,2,0,42,157,73,8,1
ID_NCS6UUG,12,0,1,41.15399093164514,12,4,2,0,21,247,73,8,1
ID_CDA5LDK,12,0,2,20.0,12,3,2,0,21,157,73,8,1
ID_CZ9DW6L,12,0,1,41.15399093164514,12,4,2,0,42,247,73,8,1
ID_2AMSVDM,12,0,1,20.0,12,1,8,0,67,157,73,1,0
ID_NPGOUN5,12,151,2,93.0,12,7,8,0,67,158,73,5,0
ID_0YVNPAI,12,0,2,44.0,12,1,8,0,26,115,73,1,0
ID_EPJW8ZS,12,0,1,41.15399093164514,12,4,8,0,50,247,73,8,1
ID_TLSOBUR,12,0,2,41.15399093164514,12,2,2,26,26,158,73,1,0
ID_9QG0NXE,12,0,1,51.0,12,3,8,0,42,247,73,6,0
ID_BI6U84E,12,0,1,41.15399093164514,12,4,8,0,3,247,73,7,1
ID_USRZ6JE,12,0,1,41.15399093164514,12,4,8,0,67,247,73,8,1
ID_XFCJ8Y8,12,151,2,93.0,12,7,8,38,26,158,73,5,0
ID_EH2905B,12,0,1,41.15399093164514,12,4,8,0,67,247,73,0,1
ID_3SIUOWK,12,0,0,27.0,12,1,8,0,67,247,73,5,0
ID_B5Y8600,12,0,2,20.0,12,4,2,0,3,253,23,0,1
ID_SX4S3J7,12,0,1,33.0,12,1,8,4,49,253,23,1,1
ID_3XGNAOP,12,0,1,41.15399093164514,12,4,8,0,0,247,73,8,1
ID_2LJ6U4O,12,0,2,20.0,12,3,8,0,0,157,73,8,1
ID_VABPCAF,12,0,1,41.15399093164514,12,4,8,0,3,247,73,0,1
ID_SPXFNN4,12,0,1,51.0,12,3,2,0,67,247,73,6,0
ID_T2MO8E8,12,0,0,50.0,12,1,8,0,67,247,73,5,0
ID_WWVLVMX,12,0,1,41.15399093164514,12,4,8,0,67,247,73,8,1
ID_F7192HK,12,0,2,20.0,12,4,8,0,3,253,23,0,1
ID_6VBC8AX,12,0,1,41.15399093164514,12,4,8,0,21,247,73,8,1
ID_MOT18O0,12,0,1,41.15399093164514,12,4,8,0,3,247,73,7,1
ID_B5V0WWJ,12,0,1,41.15399093164514,12,4,2,26,50,247,73,8,0
ID_31LHO0S,12,0,0,53.0,12,1,2,26,67,101,23,5,0
ID_PTEAANG,12,0,0,36.0,12,1,8,0,67,247,73,5,0
ID_PQPPDOA,12,0,0,62.0,12,1,2,0,49,247,73,5,0
ID_X68OPDC,12,0,1,41.15399093164514,12,4,8,0,3,247,73,7,0
ID_UC78MRX,12,0,1,20.0,12,1,8,26,67,101,23,6,0
ID_MM7CYR4,12,0,0,27.0,12,1,8,0,67,247,73,1,1
ID_PLV51SO,12,0,1,41.15399093164514,12,4,2,0,67,247,73,0,1
ID_WY9DL6L,12,0,2,41.15399093164514,12,2,2,0,26,158,73,1,0
ID_EF7BPEE,12,0,1,41.15399093164514,12,4,8,0,67,247,73,0,0
ID_AZ4KCEE,12,0,1,41.15399093164514,12,4,8,0,21,247,73,8,1
ID_NK2GE3T,12,0,0,32.0,12,1,8,4,67,87,23,1,1
ID_IZ5DJAE,13,1,1,30.0,13,1,8,7,67,108,49,2,1
ID_JGZ9VAI,13,1,1,31.0,13,1,2,37,42,157,73,1,1
ID_94465YV,13,1,0,34.0,13,1,8,37,67,153,23,1,0
ID_Z6L22JV,13,1,1,41.15399093164514,13,1,8,4,67,247,73,1,0
ID_FZDQVQR,13,1,1,47.0,13,1,8,32,29,108,49,1,0
ID_P391B2L,13,1,1,35.0,13,1,8,7,67,108,49,1,0
ID_SGUHRZR,13,1,1,25.0,13,1,8,7,26,108,49,5,0
ID_T4NKILF,13,1,1,40.0,13,1,8,4,38,158,73,1,0
ID_7039TQK,13,1,0,32.0,13,1,2,37,29,194,23,1,0
ID_9V9NU4K,13,1,1,44.0,13,2,8,38,67,194,23,1,0
ID_QD3AHLE,13,1,0,33.0,13,1,2,38,26,194,23,1,0
ID_5P5JK6I,13,1,0,1.0,13,1,8,38,29,194,23,5,0
ID_LRWA7LN,13,1,1,36.0,13,1,8,38,48,194,23,5,0
ID_ERQS1H2,13,1,0,1.0,13,1,8,38,38,194,23,5,0
ID_LUI9I7J,13,1,1,51.0,13,1,8,37,26,194,23,5,0
ID_KXYONRA,13,1,0,36.0,13,1,8,37,52,157,73,6,0
ID_X2OF9XP,13,1,0,34.0,13,1,8,4,67,153,23,1,0
ID_G9Q8OLW,13,1,1,61.0,13,1,8,26,67,20,73,1,0
ID_A6U5OQ3,13,1,2,44.0,13,1,8,7,67,153,23,1,0
ID_A1NRGZU,13,1,1,42.0,13,1,8,4,29,253,23,1,1
ID_HXFBG8I,13,1,0,35.0,13,1,8,0,67,157,73,5,0
ID_NFDZ5ZB,13,1,1,31.0,13,1,2,0,42,157,73,1,0
ID_X205W3G,13,1,1,66.0,13,1,8,4,67,16,7,1,0
ID_EOHR2L8,13,1,2,40.0,13,1,8,4,49,16,7,5,0
ID_YQ5I1S3,13,1,0,41.0,13,1,8,4,26,16,7,5,0
ID_U2LRFDA,13,1,0,42.0,13,1,8,4,67,16,7,1,0
ID_RZHIOEK,13,1,0,34.0,13,1,8,4,67,153,23,1,0
ID_Z9Z9YTG,13,1,1,42.0,13,1,8,4,29,153,23,1,0
ID_0QL0WDA,13,365,1,51.0,13,2,8,0,67,157,73,7,0
ID_W1GIO3R,13,1,2,15.0,13,1,8,17,7,153,23,1,0
ID_4833K0H,13,1,1,64.0,13,1,8,37,29,253,23,1,0
ID_31SWJ90,13,1,1,45.0,13,1,8,17,26,158,73,5,0
ID_CMUQUFY,13,1,1,51.0,13,1,8,17,67,158,73,1,1
ID_C6T4CJS,13,1,1,31.0,13,1,2,4,42,253,23,1,1
ID_H5VJVX7,13,1,1,44.0,13,1,2,17,67,153,23,5,0
ID_0O545WK,13,1,0,82.0,13,1,8,17,29,153,23,5,0
ID_B3NN04N,13,1,0,57.0,13,1,8,17,26,153,23,5,0
ID_FHD2R5Q,14,2,0,40.0,14,2,2,7,26,103,46,1,0
ID_KWSXH8P,14,2,1,37.0,14,1,8,7,49,103,46,5,0
ID_2UEJ07E,14,2,1,60.0,14,1,2,7,26,103,46,5,0
ID_KLPLGLB,14,2,0,31.0,14,1,2,7,26,103,46,5,0
ID_TEG9DI1,14,2,1,40.0,14,2,8,7,67,52,31,5,0
ID_6VOMRVY,14,2,1,50.0,14,1,2,7,21,52,31,5,0
ID_6UDCQC4,14,2,1,35.0,14,1,8,37,67,52,31,1,0
ID_X8UJVW7,14,2,1,38.0,14,1,8,37,52,52,31,5,1
ID_ZOG7PM9,14,2,0,42.0,14,3,8,4,29,226,104,1,0
ID_00VRPZL,14,2,1,51.0,14,1,8,4,67,226,104,1,1
ID_JYBSFH2,14,2,1,45.0,14,2,8,37,26,180,23,2,1
ID_JWD2T9V,14,2,1,38.0,14,2,8,37,52,180,23,1,1
ID_I6VBQGE,14,2,1,38.0,14,2,8,37,52,180,23,1,1
ID_MAP0WSL,14,2,1,32.0,14,2,8,22,67,180,23,1,0
ID_GQLQJJV,14,2,1,38.0,14,2,8,37,52,180,23,1,0
ID_2ITZL8T,14,2,1,47.0,14,1,8,26,26,98,44,1,0
ID_EQPP0WB,14,2,2,43.0,14,1,8,4,67,226,104,5,0
ID_S4YK9HM,14,2,1,53.0,14,1,2,4,67,226,104,1,0
ID_QOZ1W9G,14,2,0,57.0,14,1,8,26,26,98,44,1,0
ID_9ECL19E,14,2,1,50.0,14,2,8,0,21,253,23,0,0
ID_J6SR5JG,14,1,1,31.0,14,1,8,38,67,194,23,2,1
ID_CHDDEVM,14,2,0,65.0,14,1,8,42,21,69,23,1,0
ID_ZI4RDNL,14,2,0,31.0,14,1,2,42,52,69,23,5,0
ID_ZDELJ3D,14,2,1,40.0,14,1,8,42,26,69,23,5,0
ID_0U2TXZ7,14,2,1,30.0,14,1,8,42,42,81,36,2,1
ID_CGDRXVQ,14,2,1,45.0,14,1,8,42,64,81,36,5,0
ID_H52YW98,14,2,2,20.0,14,1,8,42,67,61,25,0,0
ID_WPL6PNC,14,1,1,31.0,14,1,8,38,67,194,23,2,0
ID_54QKCAP,14,2,0,35.0,14,1,8,42,38,81,36,5,0
ID_5HCU70M,14,2,1,34.0,14,1,8,26,67,194,23,1,0
ID_OPMTYS3,14,2,2,20.0,14,1,8,26,67,61,25,0,0
ID_MSAXJYH,14,2,1,70.0,14,1,8,26,67,61,25,5,0
ID_ZH0MGO0,14,2,1,47.0,14,1,8,26,26,61,25,1,1
ID_4U77288,14,2,1,35.0,14,1,8,38,67,167,73,1,1
ID_3L7OAIY,14,2,2,50.0,14,1,8,38,52,167,73,5,0
ID_RUPXETB,14,2,1,54.0,14,1,2,38,21,167,73,5,0
ID_ONWC2EF,14,2,1,70.0,14,1,8,38,67,194,23,5,0
ID_AVCYSJ2,14,2,1,34.0,14,2,8,38,26,253,23,5,0
ID_5U94229,15,3,1,41.0,15,1,8,37,67,34,73,1,0
ID_EPKP65Q,15,3,0,44.0,15,4,8,32,26,247,73,1,0
ID_A2YUQWK,15,3,0,40.0,15,1,8,32,26,155,23,5,0
ID_JIJMDT4,15,3,1,40.0,15,1,8,11,67,87,23,5,0
ID_NJQXTIE,15,3,0,1.0,15,1,8,11,38,155,23,5,0
ID_MZK0QIU,15,3,1,51.0,15,1,2,11,26,155,23,5,0
ID_TD8Y95Y,15,3,1,52.0,15,1,8,37,67,34,73,5,0
ID_6429JJG,15,3,0,42.0,15,1,8,32,67,155,23,1,0
ID_MZF9895,15,3,1,46.0,15,1,8,37,67,34,73,5,0
ID_WN12YXU,15,3,0,42.0,15,2,8,37,26,213,93,5,0
ID_H44EFDU,15,3,1,40.0,15,1,2,1,42,158,73,1,0
ID_XF5KFWR,15,3,0,50.0,15,2,8,25,69,158,73,1,0
ID_5ISZ3QV,15,3,1,40.0,15,1,8,25,67,158,73,5,0
ID_UEEI6FI,15,3,0,45.0,15,1,8,25,67,158,73,5,0
ID_DVGCOTU,15,3,1,36.0,15,1,8,25,67,158,73,5,0
ID_PB9A35W,15,3,0,39.0,15,1,2,4,26,84,39,1,0
ID_F36WK5Y,15,3,1,41.0,15,1,8,37,67,34,73,1,1
ID_JQJHBH2,15,3,1,41.0,15,1,2,11,67,87,23,1,0
ID_BH32R7F,15,3,1,46.0,15,1,2,26,67,158,73,1,0
ID_4BOWTNC,15,3,0,27.0,15,1,8,37,67,180,23,1,0
ID_EVA3U1N,15,3,1,36.0,15,1,8,25,67,158,73,1,1
ID_7UDN2JE,15,3,1,41.0,15,3,8,38,26,16,7,1,0
ID_Z6W6FKM,15,3,1,6.0,15,1,8,37,42,158,73,1,0
ID_VCI8HS9,15,3,0,27.0,15,1,8,37,67,180,23,1,1
ID_WA8FJU2,15,3,0,31.0,15,1,8,37,21,180,23,5,0
ID_NWPCQYS,15,3,1,47.0,15,1,8,37,29,180,23,5,0
ID_XSLCWSA,15,3,0,50.0,15,1,8,37,26,180,23,5,0
ID_IX2YS4J,15,3,1,28.0,15,2,8,32,67,160,73,1,1
ID_N7WMMW4,15,3,1,41.0,15,3,8,32,26,16,7,1,0
ID_RZTATYW,15,3,2,40.0,15,1,8,32,67,16,7,5,0
ID_L4P0WOU,15,3,1,28.0,15,2,8,32,67,160,73,1,1
ID_4PQV41C,15,3,1,50.0,15,1,8,38,67,16,7,5,0
ID_92ZE0GM,15,3,2,42.0,15,1,8,32,38,160,73,5,0
ID_G5IF9Y5,15,3,1,28.0,15,2,8,38,67,160,73,1,1
ID_QZYWLN3,15,3,1,38.0,15,1,2,7,26,160,73,1,0
ID_JR8TN6B,15,3,1,44.0,15,1,8,42,67,253,23,1,0
ID_FZDMSS7,15,3,0,40.0,15,1,8,37,29,160,73,1,1
ID_7SDHDVF,15,3,0,39.0,15,1,8,37,26,160,73,5,0
ID_Y7TBIKD,15,3,0,40.0,15,1,2,4,67,160,73,1,0
ID_DPH4QDW,15,3,0,32.0,15,1,8,38,67,160,73,1,0
ID_L90MBEE,15,3,1,42.0,15,1,8,32,21,160,73,5,0
ID_7AZYOPF,16,4,1,45.0,16,1,8,37,2,236,73,5,0
ID_T4RS1MN,16,4,1,36.0,16,1,8,4,10,236,73,1,0
ID_VWJ3Q9Y,16,4,0,39.0,16,3,2,4,67,84,39,1,0
ID_3MVPRL7,16,4,0,44.0,16,2,2,4,21,16,7,1,1
ID_FHJPMRA,16,4,0,37.0,16,1,8,0,67,236,73,5,0
ID_T9AP2LM,16,4,1,36.0,16,1,8,37,49,236,73,1,0
ID_LOK35GM,16,4,1,47.0,16,1,2,4,67,247,73,1,0
ID_WN6IXGB,16,4,1,61.0,16,1,8,37,67,187,82,5,0
ID_DAFZ43R,16,4,1,50.0,16,1,8,37,67,187,82,5,0
ID_Z0J2LFG,16,4,1,50.0,16,1,8,37,55,236,73,5,0
ID_M1PAGBU,16,4,0,35.0,16,1,8,37,67,236,73,5,0
ID_4U5LNB6,16,4,0,37.0,16,1,8,37,67,187,82,5,0
ID_I1S08AV,16,4,1,36.0,16,1,8,37,10,236,73,1,1
ID_HTODXCI,17,5,0,36.0,17,1,2,14,50,159,73,1,0
ID_9A5PC81,17,5,1,35.0,17,1,8,4,67,159,73,5,0
ID_A3UKH5X,17,5,0,36.0,17,1,2,4,50,159,73,1,0
ID_1LXD5W8,17,5,0,61.0,17,1,2,4,21,159,73,1,0
ID_ROXWP6L,17,5,1,40.0,17,1,2,4,67,115,73,1,0
ID_S9FJFJ1,17,5,1,35.0,17,1,8,4,69,115,73,5,0
ID_BW5QGB0,17,5,1,40.0,17,1,8,37,67,236,73,1,1
ID_MHWF8A4,17,5,0,38.0,17,1,8,32,67,236,73,1,1
ID_13UJQCN,17,5,1,36.0,17,1,8,4,38,236,73,5,0
ID_0Z8HNUO,17,5,0,52.0,17,1,8,4,67,236,73,1,0
ID_2OOJZCU,17,5,0,66.0,17,1,8,37,49,236,73,5,0
ID_73MDTTS,18,6,0,39.0,18,1,8,4,67,94,23,1,0
ID_9GMXXLT,18,6,1,46.0,18,1,8,4,26,94,23,1,0
ID_53AVLOO,18,6,0,28.0,18,1,8,37,67,94,23,2,0
ID_9YVIWO8,18,6,0,39.0,18,1,8,4,26,94,23,5,0
ID_7FIT5U0,18,6,1,52.0,18,1,8,4,67,94,23,5,0
ID_HMW3LVQ,18,6,1,41.0,18,1,8,4,26,94,23,5,0
ID_93UB7LI,18,6,1,46.0,18,1,8,4,67,94,23,5,0
ID_NK5ZFWP,18,6,0,50.0,18,1,8,4,29,94,23,5,0
ID_SL4GBNH,18,6,1,52.0,18,1,8,4,67,94,23,5,0
ID_4MYWNJO,18,6,1,50.0,18,1,8,37,49,187,82,5,0
ID_PZI0UDX,18,6,1,42.0,18,2,8,25,67,52,31,1,0
ID_69HMVYP,18,7,2,39.0,18,1,2,26,42,86,23,4,0
ID_U8E53Y3,18,6,1,46.0,18,1,2,4,26,86,23,1,1
ID_4OFCO0N,18,6,1,47.0,18,1,2,11,67,247,73,1,0
ID_UZ8A3OZ,18,6,1,34.0,18,1,8,37,67,1,0,1,0
ID_5EDDW07,18,6,0,50.0,18,2,8,37,67,115,73,1,1
ID_V0537OQ,18,6,1,46.0,18,1,8,4,67,187,82,5,0
ID_QJH5DW3,18,6,1,32.0,18,1,8,4,38,115,73,5,0
ID_8UBZLDM,18,6,1,20.0,18,1,8,4,67,94,23,5,0
ID_088DOQ3,18,6,0,50.0,18,2,8,4,67,115,73,1,1
ID_DCCTSNW,18,6,1,50.0,18,1,8,4,26,237,73,5,0
ID_OVNH9UF,18,6,0,29.0,18,1,8,32,38,158,73,1,0
ID_9OJR1EC,18,6,0,35.0,18,1,8,4,26,158,73,1,0
ID_M6KBLED,18,6,1,65.0,18,1,8,26,67,115,73,1,0
ID_37J3MSO,18,6,0,50.0,18,1,8,4,29,115,73,5,0
ID_YS0DIKB,18,6,2,40.0,18,1,8,38,67,115,73,5,0
ID_DSMHY0D,18,6,0,29.0,18,1,8,0,67,247,73,1,0
ID_ERSIE58,18,6,1,36.0,18,2,2,4,67,248,27,1,0
ID_21NF3KX,18,6,0,32.0,18,1,8,4,67,248,27,1,0
ID_WV9LLHB,18,6,1,50.0,18,1,8,4,15,248,27,5,0
ID_KU677CU,18,6,1,43.0,18,2,8,26,67,86,23,1,0
ID_D6QT7RL,18,6,0,33.0,18,1,2,0,43,247,73,5,0
ID_2RTY3Q1,18,6,1,35.0,18,1,2,37,42,237,73,1,0
ID_DCJFZWD,18,6,1,49.0,18,1,2,37,35,227,102,1,0
ID_LIU0VPZ,18,6,0,24.0,18,1,2,32,67,227,102,1,0
ID_H7HKHHK,18,6,1,32.0,18,1,8,32,67,227,102,5,0
ID_WGDEY1Z,18,6,1,41.0,18,1,2,4,67,122,23,1,0
ID_GJGFCB8,18,6,1,49.0,18,1,8,4,52,122,23,5,0
ID_WVK6SHX,18,6,2,40.0,18,1,8,4,67,122,23,5,0
ID_EU5V3PQ,18,6,1,36.0,18,2,2,4,67,248,27,1,1
ID_GQ9RES6,18,6,0,44.0,18,1,8,4,38,122,23,1,0
ID_7MSQ8O0,19,7,1,41.15399093164514,19,1,8,26,49,247,73,1,0
ID_2H7TT8K,19,7,2,40.0,19,1,8,32,67,247,73,5,0
ID_QRK3C3Z,19,7,1,41.15399093164514,19,1,8,32,67,247,73,1,0
ID_FF1FPCY,19,7,1,50.0,19,1,8,32,67,237,73,5,0
ID_I2O1VP5,19,7,1,45.0,19,1,8,32,26,159,73,1,0
ID_25CHSGU,19,7,0,42.0,19,1,2,4,26,153,23,1,0
ID_QY8Z39B,19,7,1,45.0,19,1,8,4,26,159,73,1,0
ID_FQ2P2WC,19,7,1,40.0,19,1,8,4,38,153,23,5,0
ID_BV0MD41,19,7,0,37.0,19,1,2,1,67,6,23,1,1
ID_7ISB6QL,19,7,1,36.0,19,1,13,43,33,247,73,0,0
ID_E3AOHNX,19,7,1,51.0,19,1,8,4,67,177,73,1,0
ID_4PVS09F,19,7,1,43.0,19,1,8,4,42,158,73,2,1
ID_SZIOXRQ,19,7,1,37.0,19,1,8,0,29,177,73,1,0
ID_VQTFDZN,19,7,1,37.0,19,1,8,0,29,177,73,1,1
ID_NFSQC5U,19,7,1,50.0,19,1,8,0,42,177,73,5,0
ID_Z96G8C5,19,7,0,69.0,19,1,8,0,69,247,73,1,0
ID_WQ1GZZB,19,7,2,40.0,19,1,8,0,67,247,73,5,0
ID_0MG4G6P,19,7,1,37.0,19,1,8,0,29,247,73,1,1
ID_VLC08N4,19,7,1,35.0,19,1,8,4,26,237,73,1,1
ID_HIGZSLI,19,7,2,41.0,19,1,8,4,67,237,73,5,0
ID_447WLUV,19,7,0,48.0,19,1,8,4,50,158,73,5,0
ID_Y804P06,19,7,0,31.0,19,1,8,4,18,118,73,5,0
ID_IGJYL66,19,7,2,40.0,19,1,8,4,67,177,73,5,0
ID_1WQCILU,19,7,0,42.0,19,2,8,4,26,118,73,1,0
ID_ESAJXZA,19,7,0,50.0,19,1,8,4,67,214,94,5,0
ID_G6S3ACE,19,7,1,37.0,19,1,8,26,29,118,73,1,1
ID_8P7BZLN,19,7,1,20.0,19,1,8,26,42,118,73,5,0
ID_OXGIWRG,19,7,1,42.0,19,1,8,4,26,24,11,5,0
ID_B3Z0TBJ,19,7,1,36.0,19,1,13,43,0,247,73,0,0
ID_QC3WG2K,19,7,1,54.0,19,1,8,4,67,160,73,1,1
ID_MNJJT0K,19,7,0,42.0,19,1,8,4,54,160,73,1,0
ID_6UFOEOL,19,7,0,37.0,19,1,2,1,67,6,23,1,0
ID_9W1LFTQ,19,7,1,40.0,19,1,8,1,21,6,23,5,0
ID_626AOJR,19,7,0,38.0,19,2,2,4,67,16,7,1,0
ID_U95MMWE,19,7,1,34.0,19,1,8,4,67,16,7,2,0
ID_ENWHHUT,19,7,1,51.0,19,1,8,4,26,16,7,5,0
ID_36S5PTX,19,7,1,35.0,19,1,8,4,67,24,11,5,0
ID_3DSHSQ9,19,7,2,40.0,19,1,8,4,26,214,94,5,0
ID_31C21H5,19,7,1,40.0,19,1,8,4,67,214,94,1,0
ID_1COUM0B,19,7,1,45.0,19,1,8,4,26,159,73,1,0
ID_YMUJYCW,19,8,2,38.0,19,1,2,4,26,96,23,4,0
ID_IBYE3JN,19,7,1,42.0,19,1,8,4,50,160,73,5,0
ID_I4CNFRE,19,7,0,36.0,19,1,8,26,67,118,73,1,0
ID_8DLRZCB,19,8,1,37.0,19,1,2,22,42,16,7,1,0
ID_ZYKRNN4,19,7,0,54.0,19,1,8,26,52,15,6,5,0
ID_IFC6FRB,19,4,1,37.0,19,1,8,26,67,15,6,1,0
ID_VXMF8BI,19,7,1,41.0,19,1,8,4,49,214,94,5,0
ID_GMSGXK6,19,7,1,54.0,19,1,8,4,67,160,73,1,1
ID_DWYJ6N5,20,8,1,48.0,20,1,2,14,38,247,73,5,0
ID_GIAPG0G,20,8,0,54.0,20,2,8,26,58,86,23,1,0
ID_UNDL9P7,20,8,0,54.0,20,2,8,26,42,86,23,1,0
ID_B3N62QW,20,8,2,41.15399093164514,20,1,8,26,49,16,7,1,0
ID_VR7MYAU,20,8,1,57.0,20,2,13,14,49,247,73,1,0
ID_IY00PVL,20,8,0,42.0,20,1,8,14,21,247,73,5,0
ID_HHFCGH2,20,8,1,1.0,20,1,8,14,67,247,73,1,0
ID_WWU764N,20,8,1,38.0,20,1,8,14,67,247,73,5,0
ID_5PK7YVR,20,8,0,54.0,20,2,2,14,58,86,23,1,0
ID_AVPSGKB,20,8,0,41.15399093164514,20,1,4,7,38,247,73,5,0
ID_YIIQBDO,20,8,2,40.0,20,1,8,14,67,86,23,5,0
ID_5ZXYME5,20,8,1,36.0,20,1,8,11,67,167,73,1,0
ID_5GOCJVB,20,8,0,55.0,20,1,8,11,67,167,73,5,0
ID_U8H78PH,20,8,1,50.0,20,1,8,11,29,167,73,5,0
ID_X2T2GGX,20,8,0,51.0,20,1,8,7,69,247,73,5,0
ID_W4GO4NH,20,8,2,44.0,20,1,8,4,26,87,23,1,0
ID_PJS6MLB,20,8,1,45.0,20,2,8,4,38,237,73,1,0
ID_ANYQJRC,20,8,1,45.0,20,1,8,4,49,237,73,5,0
ID_POPGR32,20,8,0,32.0,20,1,8,7,55,237,73,2,0
ID_P5CM8PN,20,8,1,41.0,20,1,8,14,21,86,23,5,0
ID_QS3YXZI,20,8,0,40.0,20,1,8,26,67,247,73,5,0
ID_2ELF7ON,20,8,1,57.0,20,1,8,4,67,54,77,5,0
ID_QZKZ4YZ,20,4,0,41.15399093164514,20,1,2,26,49,247,73,1,1
ID_24U6XP5,20,8,1,50.0,20,1,8,26,67,247,73,5,0
ID_9XOPUKT,20,0,1,81.0,20,1,8,4,67,247,73,6,0
ID_7O4017U,20,1,0,62.0,20,1,8,22,67,182,87,1,0
ID_213L20T,20,8,1,50.0,20,1,8,22,29,182,87,5,0
ID_A0KZUNN,20,8,1,85.0,20,1,8,22,26,182,87,5,0
ID_6ZFPVR8,20,8,1,60.0,20,1,8,22,67,182,87,5,0
ID_WHZ37HY,20,8,1,44.0,20,1,2,4,50,160,73,1,0
ID_OK2A76I,20,8,1,57.0,20,1,13,4,4,160,73,0,0
ID_1AGD0F5,20,8,1,44.0,20,1,2,4,50,160,73,1,1
ID_L3TTI4L,20,8,0,41.0,20,1,8,22,29,182,87,5,0
ID_V5KNOB7,20,0,1,81.0,20,1,13,11,38,247,73,6,0
ID_TOCM99G,20,8,1,57.0,20,2,13,14,49,247,73,0,0
ID_LISJNAV,20,8,1,41.0,20,1,8,4,29,54,77,5,0
ID_409LS87,20,8,1,50.0,20,1,8,4,26,54,77,5,0
ID_JCVW54C,20,8,1,40.0,20,1,8,4,48,54,77,5,0
ID_QSRBYC4,20,8,0,54.0,20,2,8,4,26,54,77,5,0
ID_75W4UUU,20,8,1,34.0,20,1,8,11,42,91,23,5,0
ID_Z7VAMNS,20,8,1,67.0,20,2,13,11,42,91,23,1,0
ID_PZR5PMH,20,8,1,41.15399093164514,20,1,13,11,17,247,73,0,0
ID_VA9EFNS,20,8,1,37.0,20,1,8,4,49,54,77,1,1
ID_ZN9LWA3,21,9,1,36.0,21,2,8,4,42,107,48,1,0
ID_BVLERB3,21,9,1,80.0,21,1,2,4,67,158,73,1,0
ID_5DIV4K7,21,9,1,80.0,21,1,8,37,67,158,73,1,1
ID_5QA6WXK,21,9,1,63.0,21,1,2,37,67,142,64,1,0
ID_C3LQLA0,21,9,1,52.0,21,1,8,37,58,142,64,5,0
